선수,연도,팀,연봉(만원),WAR
양현종,2020,KIA,"230,000",4.87
최형우,2020,KIA,"150,000",6.59
가뇽,2020,KIA,"65,000",4.68
나지완,2020,KIA,"60,000",2.01
터커,2020,KIA,"55,000",3.46
브룩스,2020,KIA,"47,900",7.93
김선빈,2020,KIA,"45,000",2.43
김주찬,2020,KIA,"40,000",-0.12
김윤동,2020,KIA,"13,000",0.00
나주환,2020,KIA,"12,000",0.28
박준표,2020,KIA,"11,000",2.55
장현식,2020,KIA,"11,000",-1.06
박찬호,2020,KIA,"10,500",-0.77
류지혁,2020,KIA,"10,500",0.41
김태진,2020,KIA,"9,000",-1.32
김민식,2020,KIA,"8,800",0.91
임기준,2020,KIA,"8,700",0.00
김호령,2020,KIA,"8,500",0.32
이창진,2020,KIA,"8,500",0.27
한승택,2020,KIA,"8,000",1.10
전상현,2020,KIA,"7,600",1.72
장영석,2020,KIA,"7,500",-0.83
임기영,2020,KIA,"7,000",2.99
최원준,2020,KIA,"7,000",1.08
하준영,2020,KIA,"6,500",0.00
박진태,2020,KIA,"6,000",-0.28
유민상,2020,KIA,"6,000",-0.25
고영창,2020,KIA,"5,800",-0.31
변시원,2020,KIA,"5,000",-0.04
황윤호,2020,KIA,"5,000",0.55
고장혁,2020,KIA,"5,000",-0.13
유재신,2020,KIA,"4,700",0.00
문선재,2020,KIA,"4,500",-0.21
이민우,2020,KIA,"4,300",0.61
백용환,2020,KIA,"4,000",0.31
이우성,2020,KIA,"4,000",-0.23
홍상삼,2020,KIA,"4,000",1.03
이준영,2020,KIA,"4,000",0.23
황인준,2020,KIA,"3,700",0.06
차명진,2020,KIA,"3,600",-0.01
최정용,2020,KIA,"3,600",-0.45
김기훈,2020,KIA,"3,500",0.42
최정민,2020,KIA,"3,500",-0.16
김명찬,2020,KIA,"3,500",-0.16
이진영,2020,KIA,"3,400",0.07
김영환,2020,KIA,"3,300",-0.16
남재현,2020,KIA,"3,100",-0.04
김현수,2020,KIA,"3,000",0.22
오선우,2020,KIA,"3,000",0.02
양승철,2020,KIA,"3,000",-0.17
황대인,2020,KIA,"3,000",0.75
이정훈,2020,KIA,"3,000",-0.08
김규성,2020,KIA,"2,900",-0.21
한준수,2020,KIA,"2,900",0.00
김현준,2020,KIA,"2,900",-0.24
이진경,2020,KIA,"2,900",0.00
이은총,2020,KIA,"2,900",0.00
박서준,2020,KIA,"2,900",0.00
박진두,2020,KIA,"2,900",0.00
이종석,2020,KIA,"2,900",0.00
박동민,2020,KIA,"2,800",0.00
서덕원,2020,KIA,"2,800",-0.03
김승범,2020,KIA,"2,800",0.00
박정우,2020,KIA,"2,800",0.00
강민수,2020,KIA,"2,700",0.00
유지성,2020,KIA,"2,700",0.00
정해영,2020,KIA,"2,700",1.11
박민,2020,KIA,"2,700",0.01
홍종표,2020,KIA,"2,700",-0.09
김재열,2020,KIA,"2,700",0.01
이인한,2020,KIA,"2,700",0.00
김양수,2020,KIA,"2,700",0.00
장재혁,2020,KIA,"2,700",0.00
최용준,2020,KIA,"2,700",0.00
오규석,2020,KIA,"2,700",0.00
백현종,2020,KIA,"2,700",0.00
민경남,2020,KIA,"2,700",0.00
백미카엘,2020,KIA,"2,700",0.00
이원빈,2020,KIA,"2,700",0.00
김민수,2020,KIA,"2,700",0.00
이태규,2020,KIA,"2,700",0.00
홍원빈,2020,KIA,"2,700",0.00
강민호,2020,삼성,"125,000",3.11
오승환,2020,삼성,"120,000",1.81
살라디노,2020,삼성,"70,000",1.05
우규민,2020,삼성,"70,000",0.17
뷰캐넌,2020,삼성,"60,000",5.71
라이블리,2020,삼성,"50,000",2.98
윤성환,2020,삼성,"40,000",0.04
박해민,2020,삼성,"30,000",5.48
이원석,2020,삼성,"30,000",0.14
구자욱,2020,삼성,"28,000",3.96
백정현,2020,삼성,"28,000",0.36
심창민,2020,삼성,"28,000",-0.18
김상수,2020,삼성,"25,000",3.06
장필준,2020,삼성,"21,500",0.25
허삼영,2020,삼성,"20,000",0.00
김헌곤,2020,삼성,"19,000",-0.05
김동엽,2020,삼성,"13,500",1.85
강한울,2020,삼성,"12,000",0.65
김대우,2020,삼성,"11,500",0.91
임현준,2020,삼성,"11,000",0.55
팔카,2020,삼성,"10,000",-1.25
이승현,2020,삼성,"10,000",1.24
최충연,2020,삼성,"9,000",0.00
이학주,2020,삼성,"9,000",1.45
최영진,2020,삼성,"8,000",0.15
최지광,2020,삼성,"8,000",0.68
권오준,2020,삼성,"8,000",-0.29
원태인,2020,삼성,"8,000",2.44
최채흥,2020,삼성,"7,500",4.22
박계범,2020,삼성,"5,500",-0.79
김재현,2020,삼성,"5,500",-0.13
정인욱,2020,삼성,"5,000",-0.02
박찬도,2020,삼성,"5,000",-0.04
양창섭,2020,삼성,"5,000",0.18
김도환,2020,삼성,"5,000",-0.25
백승민,2020,삼성,"4,500",0.07
김민수,2020,삼성,"4,300",-0.04
이성규,2020,삼성,"4,300",-0.27
권정웅,2020,삼성,"4,000",0.01
공민규,2020,삼성,"4,000",0.00
김호재,2020,삼성,"4,000",1.25
임대한,2020,삼성,"4,000",0.00
송준석,2020,삼성,"4,000",0.27
노성호,2020,삼성,"4,000",0.38
최선호,2020,삼성,"3,800",0.00
김윤수,2020,삼성,"3,700",0.16
김시현,2020,삼성,"3,700",0.00
이성곤,2020,삼성,"3,500",0.65
김응민,2020,삼성,"3,200",-0.01
이상민,2020,삼성,"3,200",0.04
박승규,2020,삼성,"3,200",0.27
박용민,2020,삼성,"3,100",0.00
홍정우,2020,삼성,"3,000",-0.07
김성한,2020,삼성,"3,000",0.00
장지훈,2020,삼성,"3,000",-0.46
윤정빈,2020,삼성,"2,900",0.00
맹성주,2020,삼성,"2,900",0.00
안도원,2020,삼성,"2,900",0.00
이현동,2020,삼성,"2,900",0.00
김성윤,2020,삼성,"2,900",0.01
구준범,2020,삼성,"2,800",0.00
이재익,2020,삼성,"2,800",-0.02
서장민,2020,삼성,"2,800",0.00
김용하,2020,삼성,"2,800",0.00
김지찬,2020,삼성,"2,700",1.04
이승민,2020,삼성,"2,700",0.14
황동재,2020,삼성,"2,700",-0.10
홍원표,2020,삼성,"2,700",0.04
허윤동,2020,삼성,"2,700",0.92
김경민,2020,삼성,"2,700",0.00
신동수,2020,삼성,"2,700",0.00
정진수,2020,삼성,"2,700",0.00
한연욱,2020,삼성,"2,700",0.00
조경원,2020,삼성,"2,700",0.00
박주혁,2020,삼성,"2,700",0.00
이태훈,2020,삼성,"2,700",0.00
이수민,2020,삼성,"2,700",0.00
이해승,2020,삼성,"2,700",0.00
김준우,2020,삼성,"2,700",0.00
양우현,2020,삼성,"2,700",-0.47
김재호,2020,두산,"65,000",2.14
김재환,2020,두산,"65,000",3.58
플렉센,2020,두산,"60,000",3.94
허경민,2020,두산,"48,000",4.21
유희관,2020,두산,"47,000",1.38
오재일,2020,두산,"47,000",2.75
알칸타라,2020,두산,"45,000",8.98
박건우,2020,두산,"45,000",4.21
이용찬,2020,두산,"42,000",-0.13
페르난데스,2020,두산,"40,000",4.96
이현승,2020,두산,"40,000",0.56
정수빈,2020,두산,"34,000",3.35
오재원,2020,두산,"30,000",-0.14
장원준,2020,두산,"30,000",-0.18
최주환,2020,두산,"27,000",5.30
이영하,2020,두산,"27,000",2.39
박세혁,2020,두산,"23,200",2.07
함덕주,2020,두산,"21,000",0.95
윤명준,2020,두산,"21,000",0.41
권혁,2020,두산,"19,000",-0.05
김승회,2020,두산,"17,000",0.00
김강률,2020,두산,"15,000",-0.37
이형범,2020,두산,"14,200",-0.58
박치국,2020,두산,"8,000",1.45
정상호,2020,두산,"7,000",-1.16
최원준,2020,두산,"5,900",3.46
홍건희,2020,두산,"5,300",0.37
김명신,2020,두산,"5,200",0.29
김인태,2020,두산,"5,000",0.40
신성현,2020,두산,"4,800",0.06
이승진,2020,두산,"4,700",0.35
조수행,2020,두산,"4,500",-0.24
국해성,2020,두산,"4,500",-0.53
백동훈,2020,두산,"3,600",0.25
곽빈,2020,두산,"3,500",0.00
장승현,2020,두산,"3,500",0.01
서예일,2020,두산,"3,200",0.02
이유찬,2020,두산,"3,200",0.67
박신지,2020,두산,"3,100",-0.05
황경태,2020,두산,"3,100",0.00
박종기,2020,두산,"2,900",0.45
김민규,2020,두산,"2,900",0.83
최용제,2020,두산,"2,800",0.10
김대한,2020,두산,"2,800",0.00
한주성,2020,두산,"2,800",0.00
지윤,2020,두산,"2,800",0.00
전용훈,2020,두산,"2,800",0.00
채지선,2020,두산,"2,800",0.08
송승환,2020,두산,"2,800",0.00
김태근,2020,두산,"2,800",0.00
박지훈,2020,두산,"2,700",-0.15
양찬열,2020,두산,"2,700",0.19
전형근,2020,두산,"2,700",0.00
추종민,2020,두산,"2,700",0.00
오명진,2020,두산,"2,700",-0.10
구장익,2020,두산,"2,700",0.00
김성민,2020,두산,"2,700",0.00
지원근,2020,두산,"2,700",0.00
최종인,2020,두산,"2,700",0.00
조제영,2020,두산,"2,700",-0.04
박웅,2020,두산,"2,700",0.00
권민석,2020,두산,"2,700",-0.79
정우석,2020,두산,"2,700",0.00
이승민,2020,두산,"2,700",-0.07
배창현,2020,두산,"2,700",0.02
백민규,2020,두산,"2,700",0.00
전태준,2020,두산,"2,700",0.00
문대원,2020,두산,"2,700",-0.11
김문수,2020,두산,"2,700",0.00
윤산흠,2020,두산,"2,700",0.00
최지원,2020,두산,"2,700",0.00
최세창,2020,두산,"2,700",0.03
제환유,2020,두산,"2,700",0.00
이주엽,2020,두산,"2,700",0.00
안권수,2020,두산,"2,700",-0.02
장규빈,2020,두산,"2,700",0.00
정현욱,2020,두산,"2,700",0.00
이동원,2020,두산,"2,700",-0.01
이민혁,2020,두산,"2,700",0.00
이교훈,2020,두산,"2,700",-0.06
권휘,2020,두산,"2,700",0.17
안준,2020,두산,"2,700",0.00
신민철,2020,두산,"2,700",0.00
김호준,2020,두산,"2,700",0.00
전창민,2020,두산,"2,700",0.00
진재혁,2020,두산,"2,700",0.00
이재원,2020,SK,"130,000",0.11
최정,2020,SK,"120,000",5.33
로맥,2020,SK,"90,000",5.01
킹엄,2020,SK,"50,000",-0.24
핀토,2020,SK,"45,000",1.15
김강민,2020,SK,"35,000",1.87
정의윤,2020,SK,"30,000",-0.65
박종훈,2020,SK,"29,000",3.11
문승원,2020,SK,"25,700",4.23
한동민,2020,SK,"25,000",0.72
김태훈,2020,SK,"24,000",0.37
김성현,2020,SK,"21,000",1.85
서진용,2020,SK,"20,000",0.36
윤석민,2020,SK,"18,000",-0.65
고종욱,2020,SK,"17,000",-0.17
하재훈,2020,SK,"15,000",-0.35
이태양,2020,SK,"14,000",0.37
화이트,2020,SK,"13,000",0.07
김세현,2020,SK,"12,000",-0.32
박희수,2020,SK,"12,000",0.15
정영일,2020,SK,"11,000",-0.37
신재웅,2020,SK,"11,000",-0.01
박민호,2020,SK,"10,000",1.45
채태인,2020,SK,"10,000",0.65
오태곤,2020,SK,"8,300",0.61
윤희상,2020,SK,"7,500",0.09
이흥련,2020,SK,"7,500",-0.38
최항,2020,SK,"7,500",1.23
김재현,2020,SK,"5,000",-0.16
강지광,2020,SK,"4,800",0.02
정진기,2020,SK,"4,600",0.02
김주한,2020,SK,"4,500",-0.31
정수민,2020,SK,"4,200",1.01
김택형,2020,SK,"3,700",-0.32
백승건,2020,SK,"3,400",-0.29
조영우,2020,SK,"3,300",0.72
이원준,2020,SK,"3,200",-0.14
전경원,2020,SK,"3,200",0.00
유서준,2020,SK,"3,100",0.01
최준우,2020,SK,"3,100",-0.37
오준혁,2020,SK,"3,000",0.23
채현우,2020,SK,"3,000",-0.38
김창평,2020,SK,"3,000",0.26
이건욱,2020,SK,"3,000",1.84
김정우,2020,SK,"3,000",0.00
서동민,2020,SK,"3,000",0.03
정현,2020,SK,"3,000",-0.79
남태혁,2020,SK,"3,000",-0.52
이현석,2020,SK,"3,000",-1.11
김경호,2020,SK,"2,900",-0.35
김찬호,2020,SK,"2,900",-0.04
신동민,2020,SK,"2,800",0.00
김성민,2020,SK,"2,700",0.04
류효승,2020,SK,"2,700",-0.15
최지훈,2020,SK,"2,700",1.71
이거연,2020,SK,"2,700",-0.05
나세원,2020,SK,"2,700",0.00
석호준,2020,SK,"2,700",0.00
양선률,2020,SK,"2,700",-0.03
이재성,2020,SK,"2,700",0.00
길지석,2020,SK,"2,700",0.00
박시후,2020,SK,"2,700",0.00
김태우,2020,SK,"2,700",0.00
김교람,2020,SK,"2,700",0.00
전의산,2020,SK,"2,700",0.00
김주온,2020,SK,"2,700",-0.16
윤강민,2020,SK,"2,700",-0.02
박성한,2020,SK,"2,700",0.34
권기영,2020,SK,"2,700",0.00
김정빈,2020,SK,"2,700",0.24
김민재,2020,SK,"2,700",0.00
최수빈,2020,SK,"2,700",0.00
현원회,2020,SK,"2,700",0.01
박준영,2020,SK,"2,700",0.00
오원석,2020,SK,"2,700",-0.09
김민준,2020,SK,"2,700",-0.16
이재관,2020,SK,"2,700",0.00
서상준,2020,SK,"2,700",0.00
김성민,2020,SK,"2,700",0.00
허민혁,2020,SK,"2,700",0.00
최재성,2020,SK,"2,700",0.00
김현수,2020,LG,"130,000",4.97
윌슨,2020,LG,"110,000",2.74
차우찬,2020,LG,"100,000",0.70
켈리,2020,LG,"90,000",5.57
박용택,2020,LG,"80,000",0.67
오지환,2020,LG,"60,000",7.41
김민성,2020,LG,"40,000",0.54
