DATE,aptpriceindex,cd,unemploymentrate,constructionpricerate,cpi
2015/01,73.1,2,3.7,100.40,94.643
2015/02,73.3,2,4.5,100.18,94.587
2015/03,73.7,1.75,4,100.07,94.596
2015/04,74.3,1.75,3.9,99.76,94.625
2015/05,74.8,1.75,3.7,99.69,94.89
2015/06,75.2,1.5,3.8,99.63,94.909
2015/07,75.6,1.5,3.6,99.67,95.08
2015/08,76,1.5,3.4,99.56,95.213
2015/09,76.4,1.5,3.2,100.61,94.966
2015/10,76.8,1.5,3.1,100.44,94.966
2015/11,77.2,1.5,3,100.25,94.786
2015/12,77.4,1.5,3.2,99.73,95.07
2016/01,77.5,1.5,3.7,100.35,95.232
2016/02,77.5,1.5,4.9,100.26,95.64
2016/03,77.5,1.5,4.2,100.41,95.393
2016/04,77.5,1.5,3.9,101.12,95.573
2016/05,77.6,1.5,3.6,101.40,95.63
2016/06,77.7,1.25,3.6,101.75,95.611
2016/07,77.9,1.25,3.5,101.76,95.431
2016/08,78.1,1.25,3.6,101.62,95.677
2016/09,78.2,1.25,3.5,103.30,96.247
2016/10,78.5,1.25,3.3,103.41,96.379
2016/11,78.8,1.25,3.1,103.64,96.237
2016/12,78.9,1.25,3.2,104.09,96.342
2017/01,78.9,1.25,3.7,106.12,97.366
2017/02,78.9,1.25,4.9,106.30,97.632
2017/03,79,1.25,4.1,106.31,97.565
2017/04,79.1,1.25,4.2,106.29,97.442
2017/05,79.3,1.25,3.6,106.19,97.546
2017/06,79.6,1.25,3.8,106.12,97.338
2017/07,79.9,1.25,3.4,106.09,97.499
2017/08,80.3,1.25,3.6,106.30,98.058
2017/09,80.4,1.25,3.3,108.45,98.172
2017/10,80.6,1.25,3.2,108.74,98.077
2017/11,80.8,1.5,3.1,108.81,97.347
2017/12,81,1.5,3.3,108.91,97.698
2018/01,81.4,1.5,3.7,110.65,98.106
2018/02,81.9,1.5,4.6,110.66,98.855
2018/03,82.2,1.5,4.5,110.70,98.751
2018/04,82.3,1.5,4.1,110.86,98.931
2018/05,82.4,1.5,4,110.92,98.979
2018/06,82.4,1.5,3.7,111.30,98.779
2018/07,82.5,1.5,3.7,111.38,98.59
2018/08,82.6,1.5,4,111.35,99.462
2018/09,83.4,1.5,3.6,114.07,100.221
2018/10,83.8,1.5,3.5,114.31,100.041
2018/11,83.9,1.75,3.2,114.13,99.33
2018/12,83.9,1.75,3.4,113.97,98.988
2019/01,83.7,1.75,4.5,115.96,98.884
2019/02,83.5,1.75,4.7,115.93,99.311
2019/03,83.2,1.75,4.3,116.05,99.121
2019/04,82.9,1.75,4.4,116.08,99.481
2019/05,82.6,1.75,4,116.10,99.652
2019/06,82.5,1.75,4,116.06,99.491
2019/07,82.4,1.5,3.9,116.06,99.187
2019/08,82.4,1.5,3,116.03,99.425
2019/09,82.5,1.5,3.1,117.61,99.794
2019/10,82.8,1.25,3,117.41,100.041
2019/11,83.2,1.25,3.1,117.31,99.481
2019/12,83.9,1.25,3.4,117.33,99.719
2020/01,84.3,1.25,4.1,118.30,100.09
2020/02,84.9,1.25,4.1,118.30,100.16
2020/03,86.1,0.75,4.2,118.06,99.94
2020/04,86.7,0.75,4.2,117.93,99.5
2020/05,87,0.5,4.5,117.95,99.44
2020/06,87.6,0.5,4.3,118.07,99.71
2020/07,88.6,0.5,4,117.95,99.63
2020/08,89.2,0.5,3.1,118.10,100.19
2020/09,89.7,0.5,3.6,119.87,100.74
2020/10,90,0.5,3.7,119.90,100.18
2020/11,90.6,0.5,3.4,120.22,100.09
2020/12,91.5,0.5,4.1,121.80,100.33
2021/01,92.5,0.5,5.7,124.12,101.04
2021/02,94.1,0.5,4.9,124.84,101.58
2021/03,95.4,0.5,4.3,126.14,101.84
2021/04,96.7,0.5,4,128.65,101.98
2021/05,97.8,0.5,4,130.70,102.05
2021/06,100,0.5,3.8,132.08,102.05
2021/07,101.6,0.5,3.2,133.41,102.26
2021/08,103.5,0.75,2.6,135.08,102.75
2021/09,105.1,0.75,2.7,136.83,103.17
2021/10,106.6,0.75,2.8,138.30,103.35
2021/11,107.5,1,2.6,138.62,103.87
2021/12,107.9,1,3.5,138.89,104.04
2022/01,107.9,1.25,4.1,141.91,104.85
2022/02,107.8,1.25,3.4,142.38,105.42
2022/03,107.7,1.25,3,143.74,106.1
2022/04,107.7,1.5,3,145.85,106.83
2022/05,107.6,1.75,3,147.16,107.5
2022/06,107.4,1.75,3,147.51,108.21
2022/07,107.1,2.25,2.9,147.66,108.73
2022/08,106.4,2.5,2.1,146.87,108.63
2022/09,105.4,2.5,2.4,148.47,108.82
2022/10,103.7,3,2.4,148.66,109.16
2022/11,101.2,3.25,2.3,148.84,109.07
2022/12,97.5,3.25,3,148.56,109.26
2023/01,94.9,3.5,3.6,150.84,110.07
2023/02,93.1,3.5,3.1,150.99,110.33
2023/03,92,3.5,2.9,151.22,110.52
2023/04,91.5,3.5,2.8,151.34,110.77
2023/05,91.4,3.5,2.7,151.33,111.13
2023/06,91.5,3.5,2.7,151.34,111.16
2023/07,91.7,3.5,2.7,151.24,111.29
2023/08,92.1,3.5,2,151.23,112.28
2023/09,92.7,3.5,2.3,153.73,112.85
2023/10,93.1,3.5,2.1,153.49,113.27
2023/11,93.1,3.5,2.3,153.31,112.68
2023/12,93,3.5,3.3,153.22,112.73
2024/01,92.7,3.5,3.7,154.52,113.17
2024/02,92.5,3.5,3.2,154.83,113.78
2024/03,92.4,3.5,3,154.85,113.95
