순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,연도,연봉(만원),WAR,후년연봉,연차
8,강민호,삼성,0.287,119,393,355,46,102,14,0,19,173,61,0,3,31,2,4,54,17,0.487,0.349,0.836,26,0.303,0.143,2020,125000,3.11,50000,17
4,강민호,삼성,0.291,123,462,406,55,118,22,0,18,194,67,0,7,45,4,4,53,18,0.478,0.361,0.839,34,0.25,0.25,2021,50000,3.91,60000,18
13,강민호,삼성,0.258,130,444,396,38,102,19,1,13,162,66,1,3,41,4,3,58,21,0.409,0.33,0.739,19,0.287,0.4,2022,60000,0.51,60000,19
4,강민호,삼성,0.29,125,495,434,60,126,19,0,16,193,77,1,5,49,4,6,65,17,0.445,0.366,0.811,32,0.301,0,2023,60000,2.61,40000,20
2,강백호,KT,0.33,129,574,500,95,165,36,1,23,272,89,0,3,66,9,5,93,7,0.544,0.411,0.955,48,0.32,0.5,2020,21000,5.81,31000,3
1,강백호,KT,0.347,142,627,516,76,179,40,1,16,269,102,0,8,103,10,0,85,7,0.521,0.45,0.971,53,0.34,0,2021,31000,7.26,55000,4
13,강백호,KT,0.245,62,264,237,24,58,12,0,6,88,29,1,2,23,2,1,44,6,0.371,0.312,0.683,18,0.23,0,2022,55000,-0.12,29000,5
11,강백호,KT,0.265,71,271,238,32,63,10,1,8,99,39,0,2,31,4,0,55,1,0.416,0.347,0.763,15,0.345,0.3,2023,29000,0.98,29000,6
14,강승호,두산,0.239,113,340,301,47,72,16,2,7,113,37,8,3,22,1,6,78,8,0.375,0.301,0.676,17,0.287,0,2021,5000,2.81,11500,9
9,강승호,두산,0.264,134,487,444,54,117,28,1,10,177,62,6,5,29,0,3,100,8,0.399,0.31,0.709,34,0.299,0.25,2022,11500,3.56,20000,10
8,강승호,두산,0.265,127,459,419,51,111,18,6,7,162,59,4,3,27,0,6,110,12,0.387,0.316,0.703,24,0.273,0.167,2023,20000,1.98,25500,11
6,강진성,NC,0.309,121,432,395,53,122,25,0,12,183,70,2,6,20,0,9,46,11,0.463,0.351,0.814,32,0.348,0.375,2020,3800,1.78,12000,9
11,강진성,SSG,0.261,58,145,134,10,35,6,1,3,52,17,1,1,6,0,3,20,2,0.388,0.306,0.694,8,0.275,0.15,2023,8000,0.2,8500,12
16,강현우,KT,0.2,26,32,30,2,6,2,0,1,11,3,0,0,2,0,0,11,1,0.367,0.25,0.617,1,0.286,0,2020,2700,-0.46,3000,1
21,강현우,KT,0.194,53,111,103,11,20,6,0,1,29,11,1,0,6,0,1,17,3,0.282,0.245,0.527,3,0.206,0.167,2023,3000,-0.07,5000,4
23,고명준,SSG,0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2021,3000,-0.08,3000,1
26,고명준,SSG,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2023,3000,-0.02,3000,3
3,고승민,롯데,0.316,92,262,234,31,74,15,1,5,106,30,2,1,25,0,0,47,6,0.453,0.381,0.834,17,0.328,0.455,2022,3800,2.05,7300,4
18,고승민,롯데,0.224,94,308,255,35,57,14,2,2,81,24,6,4,42,3,1,64,2,0.318,0.331,0.649,14,0.233,0.167,2023,7300,0.27,8000,5
3,고종욱,SSG,0.283,92,288,272,24,77,9,3,3,101,26,0,1,14,0,1,55,3,0.371,0.319,0.69,22,0.263,0.136,2020,17000,-0.17,11000,11
9,고종욱,KIA,0.283,62,114,106,13,30,7,1,2,45,14,1,0,7,0,0,21,2,0.425,0.327,0.752,6,0.296,0.297,2022,7000,0.46,7000,12
8,고종욱,KIA,0.296,114,286,270,35,80,17,0,3,106,39,0,2,14,0,0,58,3,0.393,0.329,0.722,18,0.346,0.295,2023,7000,1.29,15000,13
23,구본혁,LG,0.163,125,98,86,20,14,0,1,1,19,7,3,0,7,0,2,18,2,0.221,0.242,0.463,3,0.208,0,2020,4000,-0.25,6300,2
24,구본혁,LG,0.132,123,45,38,10,5,2,0,0,7,3,1,2,3,0,1,7,0,0.184,0.205,0.389,0,0.2,0,2021,6300,-0.08,7000,3
3,구자욱,삼성,0.307,118,510,446,70,137,27,2,15,213,78,1,4,51,3,8,91,4,0.478,0.385,0.863,40,0.336,0,2020,28000,3.96,36000,9
2,구자욱,삼성,0.306,139,610,543,107,166,30,10,22,282,88,1,12,48,3,6,98,9,0.519,0.361,0.88,45,0.283,0,2021,36000,5.56,250000,10
7,구자욱,삼성,0.293,99,442,409,69,120,23,3,5,164,38,1,2,27,2,3,84,7,0.401,0.34,0.741,32,0.248,0,2022,250000,0.91,200000,11
1,구자욱,삼성,0.336,119,515,453,65,152,37,1,11,224,71,2,3,53,2,4,81,5,0.494,0.407,0.901,50,0.395,0,2023,200000,5.44,200000,12
12,권동진,KT,0.254,86,86,67,21,17,5,0,1,25,6,1,0,18,0,0,30,0,0.373,0.412,0.785,2,0.125,0.25,2021,3000,0.4,4200,1
