순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,연도,현재연봉,WAR_x,예측연봉,tier,mean_ERA,park_factor,Adj_ERA,연차,QS_G,SO_G,K_BB,cFIP,pFIP,WAR_won,RA_9,salary_cluster,current_cluster,exp_QS,K%,BB%,SO/9,HR/9,NP/IP,K-BB,QS-expQS
4,박치국,두산,2.89,63,4,4,0,7,0.5,71.0,0.6,65,34,5,66,34,23,1.38,0,0,0,1,317,1230,0.238,12,2,3,2,4,1,0,2020,8000.0,1.45,16000.0,4.0,4.756261441365127,939,154.537352714251,4,0.0,1.0476190476190477,1.9411764705882355,3.995,15.68514084507042,1.8125,4.309859154929577,2,1,0.0,20.82018927444795,10.725552050473187,8.366197183098592,8.23943661971831,17.323943661971832,10.094637223974765,0.0
9,최원준,두산,3.8,42,10,2,0,0,0.833,123.0,134.0,15,35,7,94,52,52,1.37,0,0,4,0,532,2148,0.277,23,3,2,4,0,2,1,2020,5900.0,3.46,16000.0,2.0,4.756261441365127,939,117.52972351162774,4,0.0952380952380952,2.238095238095238,2.685714285714285,3.995,5.07630081300813,5.864406779661017,3.804878048780488,2,1,0.3809523809523808,17.669172932330827,6.578947368421052,6.878048780487806,1.0975609756097562,17.463414634146343,11.090225563909776,3.619047619047619
11,이영하,두산,4.64,42,5,11,6,0,0.313,132.0,148.0,9,66,5,85,78,68,1.62,0,0,7,2,605,2235,0.284,26,1,7,6,3,4,1,2020,27000.0,2.39,19000.0,2.0,4.756261441365127,939,96.25279080693652,5,0.1666666666666666,2.023809523809524,1.2878787878787878,3.995,5.207121212121212,0.8851851851851852,5.318181818181818,2,3,1.1666666666666663,14.049586776859504,10.909090909090908,5.795454545454545,0.6136363636363635,16.931818181818183,3.140495867768596,5.833333333333334
12,윤명준,두산,4.83,42,1,0,2,7,1.0,41.0,51.0,4,13,1,20,24,22,1.56,0,0,0,0,185,651,0.315,6,1,4,5,1,1,0,2020,21000.0,0.41,15600.0,3.0,4.756261441365127,939,92.46644913958288,9,0.0,0.4761904761904761,1.5384615384615383,3.995,5.312073170731708,0.1952380952380952,5.268292682926829,2,2,0.0,10.81081081081081,7.027027027027027,4.390243902439025,0.8780487804878049,15.878048780487806,3.7837837837837833,0.0
13,김민규,두산,4.89,29,1,2,1,0,0.333,53.0,0.3,47,22,3,54,30,29,1.29,0,0,0,1,231,998,0.23,14,0,2,0,2,1,0,2020,2900.0,0.83,5500.0,1.0,4.756261441365127,939,91.33189148142851,3,0.0,1.862068965517241,2.4545454545454546,3.995,14.900660377358491,2.862068965517241,5.09433962264151,0,0,0.0,23.376623376623375,9.523809523809524,9.169811320754716,7.981132075471699,18.830188679245282,13.852813852813851,0.0
15,홍건희,두산,4.98,60,3,4,1,8,0.429,68.0,0.6,74,22,5,60,39,38,1.4,0,0,0,3,299,1210,0.276,14,3,3,1,0,3,0,2020,5300.0,0.37,11000.0,4.0,4.756261441365127,939,89.6813151293545,10,0.0,1.0,2.727272727272727,3.995,17.568529411764708,0.6981132075471698,5.161764705882352,1,1,0.0,20.066889632107024,7.357859531772576,7.9411764705882355,9.794117647058822,17.794117647058822,12.709030100334449,0.0
16,유희관,두산,5.02,27,10,11,0,0,0.476,136.0,0.3,190,39,3,56,91,76,1.68,0,0,9,0,622,2373,0.335,37,5,8,4,4,1,0,2020,47000.0,1.38,30000.0,0.0,4.756261441365127,939,88.96672297692936,12,0.3333333333333333,2.074074074074074,1.435897435897436,3.995,22.259705882352943,0.2936170212765957,6.022058823529411,3,3,3.0,9.003215434083602,6.270096463022508,3.705882352941176,12.573529411764705,17.448529411764707,2.733118971061094,6.0
18,이현승,두산,5.31,62,2,1,2,10,0.667,42.0,0.3,48,21,2,42,27,25,1.63,0,0,0,2,195,783,0.286,9,2,3,1,0,3,1,2020,40000.0,0.56,7000.0,3.0,4.756261441365127,939,84.10790006481834,19,0.0,0.6774193548387096,2.0,3.995,18.495,0.14,5.7857142857142865,0,3,0.0,21.53846153846154,10.76923076923077,9.0,10.285714285714285,18.642857142857142,10.76923076923077,0.0
20,이승진,두산,5.61,33,2,4,0,5,0.333,51.0,0.3,55,22,2,54,33,32,1.5,0,0,1,1,228,989,0.275,12,2,2,2,1,0,0,2020,4700.0,0.35,10000.0,1.0,4.756261441365127,939,79.61015139825052,7,0.0303030303030303,1.6363636363636365,2.4545454545454546,3.995,17.30872549019608,0.7446808510638298,5.8235294117647065,1,0,0.0303030303030303,23.684210526315788,9.649122807017543,9.529411764705882,9.705882352941176,19.392156862745097,14.035087719298245,0.9696969696969697
2,윤대경,한화,1.59,55,5,0,0,7,1.0,51.0,48.0,3,25,3,42,16,9,1.43,0,0,0,0,225,869,0.251,7,0,4,2,3,1,0,2020,2800.0,1.31,7700.0,1.0,4.756261441365127,978,292.55494903491154,8,0.0,0.7636363636363637,1.68,3.995,4.759705882352941,4.678571428571429,2.8235294117647056,0,0,0.0,18.666666666666668,11.11111111111111,7.411764705882352,0.5294117647058824,17.03921568627451,7.555555555555557,0.0
3,강재민,한화,2.57,50,1,2,1,14,0.333,49.0,41.0,3,18,0,57,16,14,1.2,0,0,0,2,203,871,0.227,5,0,3,1,1,2,1,2020,2700.0,1.78,7900.0,1.0,4.756261441365127,978,180.9970307258792,1,0.0,1.14,3.1666666666666665,3.995,3.566428571428572,6.592592592592593,2.9387755102040813,0,0,0.0,28.078817733990146,8.866995073891626,10.46938775510204,0.5510204081632653,17.775510204081634,19.21182266009852,0.0
4,김진영,한화,3.33,58,3,3,0,8,0.5,54.0,48.0,6,22,3,56,26,20,1.3,0,0,0,1,231,949,0.236,4,0,1,2,0,5,0,2020,3200.0,0.81,7900.0,1.0,4.756261441365127,978,139.68839908874156,11,0.0,0.9655172413793104,2.5454545454545454,3.995,4.75425925925926,2.5312500000000004,4.333333333333333,0,0,0.0,24.242424242424242,9.523809523809524,9.333333333333332,1.0,17.574074074074073,14.718614718614718,0.0
7,김민우,한화,4.34,26,5,10,0,0,0.333,132.0,0.6,121,72,7,124,72,64,1.45,0,0,5,0,593,2460,0.24,16,1,5,4,3,10,2,2020,4200.0,3.11,9000.0,0.0,4.756261441365127,978,107.18026934689158,6,0.1923076923076923,4.769230769230769,1.7222222222222223,3.995,15.828333333333331,7.404761904761905,4.909090909090908,1,0,0.9615384615384615,20.9106239460371,12.141652613827993,8.454545454545455,8.25,18.636363636363637,8.768971332209105,4.038461538461538
10,정우람,한화,4.8,50,3,5,16,0,0.375,54.0,0.3,58,12,5,53,29,29,1.29,0,0,0,3,230,907,0.283,11,1,4,4,1,2,0,2020,80000.0,0.86,80000.0,1.0,4.756261441365127,978,96.90882686781448,17,0.0,1.06,4.416666666666667,3.995,16.939444444444444,0.1075,4.833333333333334,3,3,0.0,23.043478260869566,5.217391304347826,8.833333333333334,9.666666666666668,16.796296296296298,17.826086956521742,0.0
12,장시환,한화,5.02,26,4,14,0,0,0.222,132.0,0.6,139,74,8,115,81,74,1.61,0,0,11,0,603,2434,0.271,27,1,2,6,0,10,0,2020,11000.0,2.05,15400.0,0.0,4.756261441365127,978,92.66182648715326,14,0.4230769230769231,4.423076923076923,1.554054054054054,3.995,17.80560606060606,1.8636363636363635,5.5227272727272725,2,2,4.653846153846154,19.071310116086234,12.271973466003317,7.840909090909091,9.477272727272727,18.439393939393938,6.7993366500829175,6.346153846153846
13,김범수,한화,5.24,24,3,6,0,0,0.333,55.0,55.0,9,42,3,55,34,32,1.76,0,0,2,0,259,1091,0.261,11,2,1,2,3,1,0,2020,6500.0,0.63,6500.0,1.0,4.756261441365127,978,88.77144445906669,6,0.0833333333333333,2.2916666666666665,1.3095238095238095,3.995,6.576818181818182,0.9692307692307692,5.5636363636363635,0,1,0.1666666666666666,21.235521235521233,16.216216216216218,9.0,1.4727272727272727,19.836363636363636,5.0193050193050155,1.8333333333333335
14,김진욱,한화,5.64,22,3,4,1,0,0.429,44.0,0.6,50,25,5,29,29,28,1.68,0,0,1,1,206,837,0.287,12,1,2,0,0,3,0,2020,2900.0,0.31,3900.0,3.0,4.756261441365127,978,82.47559733431018,3,0.0454545454545454,1.318181818181818,1.16,3.995,19.495,1.0689655172413794,5.931818181818182,0,0,0.0454545454545454,14.077669902912621,12.135922330097088,5.931818181818182,10.227272727272728,19.022727272727273,1.9417475728155331,0.9545454545454546
16,김종수,한화,5.94,54,1,1,1,7,0.5,50.0,54.0,6,26,3,43,34,33,1.6,0,0,0,1,228,941,0.276,11,3,3,0,1,4,0,2020,3800.0,-0.08,6100.0,1.0,4.756261441365127,978,78.31016312550663,8,0.0,0.7962962962962963,1.6538461538461535,3.995,5.575,-0.2105263157894737,6.12,0,0,0.0,18.859649122807017,11.403508771929824,7.74,1.08,18.82,7.4561403508771935,0.0
19,장민재,한화,6.75,24,2,7,0,0,0.222,57.0,0.3,86,13,2,32,44,43,1.73,0,0,2,0,267,975,0.35,19,2,0,6,0,1,0,2020,11000.0,0.08,10000.0,1.0,4.756261441365127,978,68.91294355044583,12,0.0833333333333333,1.3333333333333333,2.4615384615384617,3.995,23.275701754385967,0.0727272727272727,6.947368421052631,1,2,0.1666666666666666,11.985018726591761,4.868913857677903,5.052631578947368,13.578947368421053,17.105263157894736,7.116104868913858,1.8333333333333335
2,박준표,KIA,1.57,50,7,1,6,11,0.875,51.0,0.6,41,8,0,44,16,9,0.95,0,0,0,5,205,793,0.211,3,0,2,1,2,2,0,2020,11000.0,2.55,16000.0,3.0,4.756261441365127,1008,305.37016133095847,8,0.0,0.88,5.5,3.995,13.19107843137255,2.318181818181818,2.8235294117647056,2,2,0.0,21.463414634146343,3.902439024390244,7.764705882352942,7.235294117647059,15.549019607843137,17.5609756097561,0.0
3,전상현,KIA,2.45,47,2,2,15,13,0.5,47.0,0.6,35,22,0,64,21,13,1.2,0,0,0,2,198,792,0.207,6,1,3,4,0,2,0,2020,7600.0,1.72,14000.0,3.0,4.756261441365127,1008,195.6861850161652,5,0.0,1.3617021276595744,2.909090909090909,3.995,12.356702127659574,2.263157894736842,4.0212765957446805,1,1,0.0,32.323232323232325,11.11111111111111,12.25531914893617,6.702127659574468,16.851063829787233,21.212121212121215,0.0
4,브룩스,KIA,2.5,23,11,4,0,0,0.733,151.0,0.3,131,24,3,130,43,42,1.02,1,1,16,0,586,2218,0.238,18,0,5,3,0,3,1,2020,47900.0,7.93,100000.0,2.0,4.756261441365127,1008,191.77246131584195,10,0.6956521739130435,5.652173913043479,5.416666666666667,3.995,14.087715231788078,1.6555323590814195,2.562913907284768,3,3,11.130434782608695,22.18430034129693,4.09556313993174,7.748344370860927,7.80794701986755,14.688741721854305,18.088737201365188,4.869565217391305
5,정해영,KIA,3.29,47,5,4,1,11,0.556,38.0,0.3,41,24,2,32,15,14,1.7,0,0,0,3,172,681,0.297,5,1,5,3,2,7,0,2020,2700.0,1.11,7000.0,3.0,4.756261441365127,1008,145.72375479927197,1,0.0,0.6808510638297872,1.3333333333333333,3.995,18.389736842105265,4.111111111111112,3.5526315789473686,0,0,0.0,18.6046511627907,13.953488372093023,7.578947368421052,9.710526315789474,17.92105263157895,4.651162790697676,0.0
11,홍상삼,KIA,5.06,57,4,5,0,17,0.444,48.0,32.0,5,54,3,61,27,27,1.79,0,0,0,1,229,963,0.188,11,0,1,1,0,8,0,2020,4000.0,1.03,9000.0,1.0,4.756261441365127,1008,94.74923978055432,13,0.0,1.0701754385964912,1.1296296296296295,3.995,6.37,2.575,5.0625,1,0,0.0,26.637554585152838,23.580786026200872,11.4375,0.9375,20.0625,3.0567685589519655,0.0
12,임기영,KIA,5.15,25,9,10,0,0,0.474,127.0,0.6,152,33,9,106,80,73,1.45,0,0,7,0,559,2224,0.3,26,3,4,6,0,3,1,2020,7000.0,2.99,10000.0,2.0,4.756261441365127,1008,93.09342782322422,9,0.28,4.24,3.212121212121212,3.995,18.876889763779527,4.271428571428571,5.669291338582677,1,1,1.9600000000000002,18.962432915921287,5.903398926654741,7.511811023622047,10.771653543307087,17.511811023622048,13.059033989266545,5.04
14,김기훈,KIA,5.37,22,0,4,0,1,0.0,52.0,58.0,8,31,2,39,35,31,1.71,0,0,0,0,238,1001,0.293,11,1,4,3,0,3,0,2020,3500.0,0.42,4000.0,1.0,4.756261441365127,1008,89.27954437422807,2,0.0,1.7727272727272727,1.2580645161290325,3.995,6.398846153846154,1.2,6.057692307692308,0,0,0.0,16.386554621848738,13.025210084033615,6.75,1.3846153846153846,19.25,3.361344537815123,0.0
16,이민우,KIA,6.79,22,6,10,0,0,0.375,106.0,129.0,11,47,6,67,87,80,1.66,0,0,6,0,486,1831,0.306,20,4,4,8,0,4,0,2020,4300.0,0.61,6000.0,2.0,4.756261441365127,1008,70.60841727387405,6,0.2727272727272727,3.0454545454545454,1.425531914893617,3.995,5.579905660377358,1.4186046511627908,7.386792452830189,0,0,1.6363636363636362,13.786008230452676,9.670781893004115,5.688679245283018,0.9339622641509434,17.27358490566038,4.115226337448561,4.363636363636363
17,고영창,KIA,6.83,48,1,1,1,2,0.5,58.0,88.0,3,17,5,23,46,44,1.81,0,0,0,0,275,916,0.355,19,0,4,1,2,5,2,2020,5800.0,-0.31,5200.0,1.0,4.756261441365127,1008,70.19489799262149,8,0.0,0.4791666666666667,1.3529411764705883,3.995,5.012241379310344,-0.5344827586206897,7.137931034482759,0,1,0.0,8.363636363636363,6.181818181818182,3.5689655172413794,0.46551724137931033,15.793103448275861,2.1818181818181817,0.0
18,김현수,KIA,7.24,15,1,2,0,0,0.333,32.0,0.3,41,31,2,19,27,26,2.23,0,0,0,0,167,622,0.313,7,3,2,1,0,1,0,2020,3000.0,0.22,3500.0,3.0,4.756261441365127,1008,66.21977255381282,2,0.0,1.2666666666666666,0.6129032258064516,3.995,22.5575,0.7333333333333333,7.59375,0,0,0.0,11.377245508982035,18.562874251497004,5.34375,11.53125,19.4375,-7.185628742514968,0.0
23,장현식,KIA,10.76,37,4,4,0,6,0.5,41.0,64.0,8,22,3,26,52,49,2.1,0,0,0,2,207,821,0.37,14,2,2,7,0,11,0,2020,11000.0,-1.06,10500.0,3.0,4.756261441365127,1008,44.5567986328629,8,0.0,0.7027027027027027,1.181818181818182,3.995,7.092560975609756,-0.9636363636363636,11.414634146341463,1,2,0.0,12.560386473429952,10.628019323671497,5.7073170731707314,1.7560975609756098,20.024390243902438,1.9323671497584556,0.0
2,이보근,KT,2.51,49,3,1,6,9,0.75,46.0,0.6,42,12,2,27,17,13,1.16,0,0,0,2,192,719,0.241,5,0,2,2,1,3,0,2020,20000.0,0.97,20000.0,3.0,4.756261441365127,1012,191.7663975562354,16,0.0,0.5510204081632653,2.25,3.995,15.603695652173911,0.485,3.326086956521739,2,2,0.0,14.0625,6.25,5.282608695652175,8.217391304347826,15.630434782608695,7.8125,0.0
3,주권,KT,2.7,77,6,2,0,31,0.75,70.0,54.0,6,32,1,37,25,21,1.23,0,0,0,6,294,1144,0.213,11,0,5,3,1,0,0,2020,15000.0,1.91,25000.0,1.0,4.756261441365127,1012,178.27172513561143,6,0.0,0.4805194805194805,1.15625,3.995,5.466428571428572,1.2733333333333332,3.2142857142857144,2,2,0.0,12.585034013605442,10.884353741496598,4.757142857142857,0.7714285714285715,16.34285714285714,1.700680272108844,0.0
5,조현우,KT,3.09,54,5,1,1,9,0.833,46.0,0.6,38,22,1,33,16,16,1.29,0,0,0,1,196,708,0.226,8,1,4,1,1,3,0,2020,3000.0,1.8,7500.0,3.0,4.756261441365127,1012,155.77141031267018,7,0.0,0.6111111111111112,1.5,3.995,14.799347826086958,6.000000000000001,3.1304347826086953,0,0,0.0,16.83673469387755,11.224489795918368,6.456521739130435,7.434782608695652,15.391304347826088,5.612244897959181,0.0
6,김재윤,KT,3.26,56,5,3,21,1,0.625,60.0,0.6,62,15,0,58,23,22,1.27,0,0,0,7,256,1018,0.265,4,2,7,0,3,0,0,2020,12000.0,1.47,17000.0,1.0,4.756261441365127,1012,147.64836130863523,12,0.0,1.0357142857142858,3.866666666666666,3.995,16.245,1.225,3.45,2,2,0.0,22.65625,5.859375,8.7,9.3,16.966666666666665,16.796875,0.0
7,유원상,KT,3.8,62,2,1,2,9,0.667,64.0,52.0,8,28,1,37,32,27,1.25,0,0,0,1,271,955,0.218,12,0,0,3,1,5,0,2020,4000.0,0.78,8000.0,1.0,4.756261441365127,1012,126.6667520700397,15,0.0,0.5967741935483871,1.3214285714285714,3.995,5.823125,1.95,4.5,0,0,0.0,13.653136531365314,10.33210332103321,5.203125,1.125,14.921875,3.3210332103321036,0.0
8,소형준,KT,3.86,26,13,6,0,0,0.684,133.0,141.0,6,45,6,92,63,57,1.4,0,0,10,0,572,2172,0.274,23,0,3,3,0,2,0,2020,2700.0,3.24,14000.0,2.0,4.756261441365127,1012,124.69783882542768,1,0.3846153846153846,3.5384615384615383,2.0444444444444443,3.995,4.348383458646617,12.000000000000002,4.263157894736842,1,0,3.846153846153846,16.083916083916083,7.8671328671328675,6.2255639097744355,0.40601503759398494,16.330827067669173,8.216783216783217,6.153846153846154
9,배제성,KT,3.95,26,10,7,0,0,0.588,141.0,0.3,130,76,4,83,67,62,1.46,0,0,10,0,619,2364,0.244,30,1,3,3,0,11,1,2020,11000.0,3.43,17000.0,0.0,4.756261441365127,1012,121.85662224459514,6,0.3846153846153846,3.1923076923076925,1.0921052631578947,3.995,16.50563829787234,3.118181818181818,4.276595744680852,2,2,3.846153846153846,13.408723747980615,12.277867528271406,5.297872340425531,8.297872340425531,16.76595744680851,1.1308562197092087,6.153846153846154
10,쿠에바스,KT,4.1,27,10,8,0,0,0.556,158.0,152.0,16,46,9,110,80,72,1.25,0,0,14,0,668,2518,0.253,26,1,5,8,0,4,0,2020,60000.0,3.49,50000.0,0.0,4.756261441365127,1012,117.3984531380856,13,0.5185185185185185,4.074074074074074,2.391304347826087,3.995,4.963354430379747,0.5816666666666668,4.556962025316456,3,3,7.259259259259259,16.46706586826347,6.88622754491018,6.265822784810127,0.9113924050632911,15.936708860759493,9.58083832335329,6.740740740740741
11,데스파이네,KT,4.33,35,15,8,0,0,0.652,207.0,0.6,233,68,8,152,105,100,1.45,0,0,18,0,906,3525,0.286,36,1,6,8,1,18,0,2020,45000.0,4.12,50000.0,0.0,4.756261441365127,1012,111.16250759033508,16,0.5142857142857142,4.342857142857143,2.235294117647059,3.995,18.26070048309179,0.9155555555555556,4.565217391304348,3,3,9.257142857142856,16.777041942604857,7.505518763796909,6.608695652173913,10.130434782608695,17.028985507246375,9.271523178807948,8.742857142857144
12,전유수,KT,5.12,47,5,4,2,3,0.556,45.0,0.6,46,21,3,27,26,26,1.47,0,0,0,1,200,771,0.272,7,1,4,3,5,1,0,2020,10000.0,0.55,10500.0,3.0,4.756261441365127,1012,94.01048005198258,16,0.0,0.574468085106383,1.2857142857142858,3.995,17.683888888888887,0.55,5.199999999999999,1,1,0.0,13.5,10.5,5.3999999999999995,9.2,17.133333333333333,3.0,0.0
17,하준호,KT,6.05,42,0,3,0,5,0.0,41.0,0.6,38,27,2,26,30,28,1.56,0,0,0,1,189,764,0.239,6,0,1,0,1,2,0,2020,4500.0,0.21,6000.0,3.0,4.756261441365127,1012,79.55928229192577,13,0.0,0.6190476190476191,0.9629629629629628,3.995,16.897439024390245,0.4666666666666667,6.585365853658536,0,0,0.0,13.756613756613756,14.285714285714285,5.7073170731707314,8.341463414634147,18.634146341463413,-0.5291005291005284,0.0
18,김민수,KT,6.1,33,3,8,0,0,0.273,103.0,0.3,151,30,4,63,80,70,1.75,0,0,3,2,482,1726,0.34,22,1,0,4,0,6,0,2020,6500.0,-0.22,7000.0,2.0,4.756261441365127,1012,78.90715702723784,6,0.0909090909090909,1.9090909090909087,2.1,3.995,22.820242718446604,-0.3384615384615385,6.990291262135922,0,1,0.2727272727272727,13.070539419087138,6.224066390041494,5.504854368932039,13.194174757281553,16.75728155339806,6.846473029045645,2.7272727272727275
3,요키시,키움,2.14,27,12,7,0,0,0.632,159.0,0.6,144,25,6,115,53,38,1.06,0,0,20,0,640,2417,0.237,26,3,2,0,0,3,1,2020,55000.0,6.08,75000.0,0.0,4.756261441365127,969,215.36529610667324,11,0.7407407407407407,4.25925925925926,4.6,3.995,14.906949685534592,1.1054545454545457,3.0,3,3,14.814814814814813,17.96875,3.90625,6.509433962264151,8.150943396226415,15.20125786163522,14.0625,5.185185185185187
4,조상우,키움,2.15,53,5,3,33,0,0.625,54.0,0.3,50,18,2,64,15,13,1.25,0,0,0,3,232,955,0.238,5,0,2,0,2,1,0,2020,20000.0,2.29,33000.0,1.0,4.756261441365127,969,214.3635970550143,8,0.0,1.2075471698113207,3.555555555555556,3.995,14.77277777777778,1.145,2.5,3,2,0.0,27.586206896551722,7.758620689655173,10.666666666666666,8.333333333333334,17.685185185185187,19.827586206896548,0.0
5,안우진,키움,3.0,42,2,3,2,13,0.4,36.0,20.0,3,17,0,41,12,12,1.03,0,0,0,5,143,579,0.16,2,0,0,1,1,2,0,2020,4800.0,1.0,9000.0,3.0,4.756261441365127,969,153.6272445560936,3,0.0,0.9761904761904762,2.411764705882353,3.995,4.217222222222222,2.083333333333333,3.0,1,0,0.0,28.671328671328673,11.888111888111888,10.25,0.75,16.083333333333332,16.783216783216787,0.0
6,양현,키움,3.3,58,8,3,2,11,0.727,60.0,58.0,4,17,3,33,23,22,1.25,0,0,0,2,245,889,0.265,9,1,1,5,0,1,0,2020,9000.0,0.72,12000.0,1.0,4.756261441365127,969,139.66113141463055,10,0.0,0.5689655172413793,1.9411764705882355,3.995,4.761666666666667,0.7999999999999999,3.45,1,1,0.0,13.46938775510204,6.938775510204081,4.95,0.6,14.816666666666666,6.530612244897959,0.0
7,브리검,키움,3.62,21,9,5,0,0,0.643,107.0,98.0,6,42,5,105,45,43,1.31,0,0,7,0,456,1843,0.246,7,2,5,6,1,8,0,2020,80000.0,3.16,48000.0,2.0,4.756261441365127,969,127.31539604096152,15,0.3333333333333333,5.0,2.5,3.995,4.07911214953271,0.3950000000000001,3.7850467289719627,3,3,2.333333333333333,23.026315789473685,9.210526315789473,8.83177570093458,0.5046728971962616,17.22429906542056,13.815789473684212,4.666666666666667
10,김태훈,키움,4.22,53,7,0,0,10,1.0,64.0,70.0,1,22,5,40,34,30,1.44,0,0,0,2,281,1039,0.282,14,1,4,2,1,3,0,2020,8000.0,0.23,10000.0,1.0,4.756261441365127,969,109.21368096404758,9,0.0,0.7547169811320755,1.818181818181818,3.995,4.21375,0.2875,4.78125,1,1,0.0,14.23487544483986,7.829181494661921,5.625,0.140625,16.234375,6.405693950177938,0.0
12,임규빈,키움,4.54,33,2,0,0,2,1.0,37.0,0.6,46,10,2,20,20,19,1.49,0,0,0,0,162,603,0.315,7,0,1,3,0,2,0,2020,2700.0,0.16,4500.0,3.0,4.756261441365127,969,101.51580036746272,6,0.0,0.6060606060606061,2.0,3.995,20.049054054054054,0.5925925925925926,4.864864864864865,0,0,0.0,12.345679012345679,6.172839506172839,4.864864864864865,11.18918918918919,16.2972972972973,6.172839506172839,0.0
13,김재웅,키움,4.68,43,1,4,0,2,0.2,59.0,0.6,64,23,2,51,36,31,1.46,0,0,0,0,258,1040,0.279,18,0,3,1,1,4,0,2020,2700.0,0.1,5200.0,1.0,4.756261441365127,969,98.47900292057282,4,0.0,1.186046511627907,2.217391304347826,3.995,17.63906779661017,0.3703703703703703,5.491525423728814,0,0,0.0,19.767441860465116,8.914728682170542,7.779661016949153,9.76271186440678,17.627118644067796,10.852713178294573,0.0
14,이영준,키움,4.73,52,2,3,0,25,0.4,40.0,41.0,5,19,2,32,21,21,1.5,0,0,0,1,176,695,0.268,3,0,0,2,0,3,1,2020,5500.0,0.93,7500.0,3.0,4.756261441365127,969,97.43799866137012,7,0.0,0.6153846153846154,1.6842105263157894,3.995,5.595000000000001,1.690909090909091,4.7250000000000005,0,1,0.0,18.181818181818183,10.795454545454545,7.2,1.125,17.375,7.3863636363636385,0.0
15,김상수,키움,4.73,60,3,3,5,11,0.5,51.0,0.3,52,21,3,48,33,27,1.42,0,0,0,3,226,906,0.265,12,0,3,2,1,1,0,2020,30000.0,0.17,30000.0,1.0,4.756261441365127,969,97.43799866137012,15,0.0,0.8,2.2857142857142856,3.995,16.779313725490198,0.0566666666666666,5.8235294117647065,3,3,0.0,21.238938053097346,9.29203539823009,8.470588235294118,9.176470588235293,17.764705882352942,11.946902654867257,0.0
