순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,연도,현재연봉,WAR_x,예측연봉,tier,salary_changed,mean_ERA,park_factor
4,박치국,두산,2.89,63,4,4,0,7,0.5,71.0,0.6,65,34,5,66,34,23,1.38,0,0,0,1,317,1230,0.238,12,2,3,2,4,1,0,2020,8000.0,1.45,16000.0,4.0,8000.0,4.756261441365127,939
9,최원준,두산,3.8,42,10,2,0,0,0.833,123.0,134.0,15,35,7,94,52,52,1.37,0,0,4,0,532,2148,0.277,23,3,2,4,0,2,1,2020,5900.0,3.46,16000.0,2.0,10100.0,4.756261441365127,939
11,이영하,두산,4.64,42,5,11,6,0,0.313,132.0,148.0,9,66,5,85,78,68,1.62,0,0,7,2,605,2235,0.284,26,1,7,6,3,4,1,2020,27000.0,2.39,19000.0,2.0,-8000.0,4.756261441365127,939
12,윤명준,두산,4.83,42,1,0,2,7,1.0,41.0,51.0,4,13,1,20,24,22,1.56,0,0,0,0,185,651,0.315,6,1,4,5,1,1,0,2020,21000.0,0.41,15600.0,3.0,-5400.0,4.756261441365127,939
13,김민규,두산,4.89,29,1,2,1,0,0.333,53.0,0.3,47,22,3,54,30,29,1.29,0,0,0,1,231,998,0.23,14,0,2,0,2,1,0,2020,2900.0,0.83,5500.0,1.0,2600.0,4.756261441365127,939
15,홍건희,두산,4.98,60,3,4,1,8,0.429,68.0,0.6,74,22,5,60,39,38,1.4,0,0,0,3,299,1210,0.276,14,3,3,1,0,3,0,2020,5300.0,0.37,11000.0,4.0,5700.0,4.756261441365127,939
16,유희관,두산,5.02,27,10,11,0,0,0.476,136.0,0.3,190,39,3,56,91,76,1.68,0,0,9,0,622,2373,0.335,37,5,8,4,4,1,0,2020,47000.0,1.38,30000.0,0.0,-17000.0,4.756261441365127,939
18,이현승,두산,5.31,62,2,1,2,10,0.667,42.0,0.3,48,21,2,42,27,25,1.63,0,0,0,2,195,783,0.286,9,2,3,1,0,3,1,2020,40000.0,0.56,7000.0,3.0,-33000.0,4.756261441365127,939
20,이승진,두산,5.61,33,2,4,0,5,0.333,51.0,0.3,55,22,2,54,33,32,1.5,0,0,1,1,228,989,0.275,12,2,2,2,1,0,0,2020,4700.0,0.35,10000.0,1.0,5300.0,4.756261441365127,939
2,윤대경,한화,1.59,55,5,0,0,7,1.0,51.0,48.0,3,25,3,42,16,9,1.43,0,0,0,0,225,869,0.251,7,0,4,2,3,1,0,2020,2800.0,1.31,7700.0,1.0,4900.0,4.756261441365127,978
